,source_sentence,human,time,location,label,augmentation
299,"Liechtenstein died unexpectedly on 14 January 2008 at his home, Waldstein Castle, at Deutschfeistritz near Graz, following a short illness.",Liechtenstein,14 January 2008,Deutschfeistritz,die,"Liechtenstein passed away unexpectedly on 14 January 2008 at his home, Waldstein Castle, at Deutschfeistritz near Graz, following a short illness."
300,"In 1978 he won a gold medal at the Commonwealth Games in Edmonton in the 4 × 100 m relay alongside David Jenkins, Allan Wells, and Drew McMaster.",David Jenkins,1978,Edmonton,competition,"At the Commonwealth Games in Edmonton in 1978, a gold medal was won by him in the 4 × 100 m relay alongside David Jenkins, Allan Wells, and Drew McMaster."
301,"In Scranton, Pennsylvania on October 23, 1926, Lucy married fellow teacher Neal Shaw Blaisdell, a descendant of John Adams Cummins whose mother was High Chiefess Kaumakaokane Papaliʻaiʻaina.",Neal Shaw Blaisdell,"October 23, 1926",Scranton,marry,"In Scranton, Pennsylvania on October 23, 1926, Lucy became the wife of fellow teacher Neal Shaw Blaisdell, a descendant of John Adams Cummins whose mother was High Chiefess Kaumakaokane Papaliʻaiʻaina."
302,"Dailey was born in Donaldsonville, Louisiana, on August 3, 1885, to S. Toney Hanna Dailey, a bartender, and Missouri (née Johnson) Dailey, an educator.",Dailey,"August 3, 1885",Donaldsonville,birth,"Dailey's birth took place in Donaldsonville, Louisiana, on August 3, 1885, to S. Toney Hanna Dailey, a bartender, and Missouri (née Johnson) Dailey, an educator."
303,"The following year, Martin won a Europa Cup event at Gudauri and had two third-place finishes at the Australian and New Zealand Cup.",Martin,The following year,Gudauri,competition,"The Europa Cup event at Gudauri was won by Martin the following year, and he achieved two third-place finishes at the Australian and New Zealand Cup."
304,He was founding chairman of the biochemistry department at Rajshahi University in 1976.,He,1976,Rajshahi University,start position,The founding chairman of the biochemistry department at Rajshahi University in 1976 was him.
305,"He met his wife, Ita Blakely, while his ship was docked in Vancouver, British Columbia, Canada, in 1924, and he continued to write to her until his ship returned to Vancouver in 1941.",He,1924,Vancouver,meet,"While his ship was docked in Vancouver, British Columbia, Canada, in 1924, he met his wife, Ita Blakely, and he continued to write to her until his ship returned to Vancouver in 1941."
306,"scientistRémy Perrier (14 June 1861, Tulle – 27 June 1936, Chaunac) was a French zoologist.",Perrier,14 June 1861,Tulle,birth,"French zoologist Rémy Perrier (14 June 1861, Tulle – 27 June 1936, Chaunac) was a scientist."
307,"He left Luton Grammar School in 1951, at the age of 16.",He,1951,Luton Grammar School,education,"At the age of 16, he left Luton Grammar School in 1951."
308,"Channell was born on May 25, 1945, in Elkins, West Virginia.",Channell,"May 25, 1945",Elkins,birth,"Channell's birth took place on May 25, 1945, in Elkins, West Virginia."
309,"The couple moved to Paris when Jean took up a position at the institution that became the Université Pierre et Marie Curie, where they remained until his retirement in 1976.",Jean,1976,Paris,end position,"When Jean took up a position at the institution that became the Université Pierre et Marie Curie, the couple moved to Paris, where they remained until his retirement in 1976."
310,", van Opstal lost to Hafid el Boustati by unanimous decision at It""s Showtime 2012 in Leeuwarden in Leeuwarden, Netherlands on January 28, 2012.",van Opstal,"January 28, 2012",Leeuwarden,competition,"Hafid el Boustati defeated van Opstal by unanimous decision at It""s Showtime 2012 in Leeuwarden in Leeuwarden, Netherlands on January 28, 2012."
311,"On 5 January 2023, Kaili, from the cell where she is incarcerated in Haren Prison outside Brussels, accused the Belgian authorities of ""inhuman"" behavior towards her.",she,5 January 2023,Brussels,arrest-jail,"On 5 January 2023, Kaili, from the cell where she is incarcerated in Haren Prison outside Brussels, accused the Belgian authorities of ""inhuman"" behavior towards her."
312,Malinowski was born in 1931 in Wronki.,Malinowski,1931,Wronki,birth,Malinowski was born in 1931 in Wronki.
313,"Erinaldo Rabelo Santos, better known as Pará (born September 19, 1987 in Rio Maria), is a Brazilian footballer who acts as left back.",Pará,"September 19, 1987",Rio Maria,birth,"Pará, whose real name is Erinaldo Rabelo Santos, was born on September 19, 1987 in Rio Maria, and is a Brazilian footballer who acts as left back."
314,"personJohann Evangelist Götz (Polish: Jan Ewangelista Goetz; born 16 November 1815, Langenenslingen, County of Hohenzollern-Sigmaringen – died 14 March 1893, Brzesko, Poland) was a German-Polish brewer, the founder of the Okocim Brewery and father of Jan Albin Goetz (also known as Jan Albin Goetz-Okocimski) and the grandfather of Antoni Jan Goetz (Antoni Jan Goetz-Okocimski).",personJohann Evangelist Götz,16 November 1815,Langenenslingen,birth,"personJohann Evangelist Götz (Polish: Jan Ewangelista Goetz; born 16 November 1815, Langenenslingen, County of Hohenzollern-Sigmaringen – died 14 March 1893, Brzesko, Poland) was a German-Polish brewer, the founder of the Okocim Brewery and father of Jan Albin Goetz (also known as Jan Albin Goetz-Okocimski) and the grandfather of Antoni Jan Goetz (Antoni Jan Goetz-Okocimski)."
315,Since 1961 he worked at Estonian Language Institute.,he,1961,Estonian Language Institute,start position,He has been working at Estonian Language Institute since 1961.
316,"In 1866, their seventh year of marriage, Buchignani ran off to Europe with the bulk of his wife""s fortune as well as her 17-year-old granddaughter Emily E. Randolph.",Emily E. Randolph,1866,Europe,go to,"In 1866, their seventh year of marriage, Buchignani ran off to Europe with the bulk of his wife""s fortune as well as her 17-year-old granddaughter Emily E. Randolph."
317,"While posted at Pondicherry, he married Henrietta James at Cuddalore on 18 May 1826.In 1828 he was deputed to Mahé and made a special agent.",Henrietta James,18 May 1826.In,Cuddalore,marry,"While posted at Pondicherry, he married Henrietta James at Cuddalore on 18 May 1826.In 1828 he was deputed to Mahé and made a special agent."
318,He retired in 2001 from the director of the Wellcome Institute for the History of Medicine at University College London (UCL).,He,2001,UCL,end position,He retired in 2001 from the director of the Wellcome Institute for the History of Medicine at University College London (UCL).
319,He became in 1956 an assistant professor and then full professor at the University of Washington.,He,1956,University of Washington,start position,He was appointed as an assistant professor in 1956 and then became a full professor at the University of Washington.
320,"From 1979 until 1985, Johnson worked as a manager for Cummins Engine Company, first in Columbus, Indiana, and then in Jamestown, New York.",Johnson,1979,Columbus,position held,"Johnson was employed as a manager for Cummins Engine Company from 1979 to 1985, first in Columbus, Indiana, and then in Jamestown, New York."
321,In 1869 he received his diploma from the school of veterinary medicine in Lyon.,he,1869,Lyon,education,"In 1869, his diploma was received from the school of veterinary medicine in Lyon."
322,"In 1939, he successfully defended his 400m Balkan Games gold medal in Athens.",he,1939,Athens,competition,"In 1939, the successful defense of his 400m Balkan Games gold medal in Athens took place."
323,"On January 3, 1911, he travelled with his family to his native London, but they need to make stopover in New York.",they,"January 3, 1911",New York,go to,"On January 3, 1911, his family traveled to his native London, but they had to make a stopover in New York."
324,Olivier Foulon (born 1976 Brussels) is a Belgian artist.,Olivier Foulon,1976,Brussels,birth,"Olivier Foulon, a Belgian artist, was born in Brussels in 1976."
325,"She then won a NZODA Scholarship to Waikato University, where she graduated with a Bachelor and Master of Laws in 1997, before completing a pre-admission course at the university""s Institute of Professional Legal Studies in 1998.Tuala",she,1997,Waikato University,education,"She was awarded a NZODA Scholarship to Waikato University, where she earned a Bachelor and Master of Laws in 1997, before completing a pre-admission course at the university""s Institute of Professional Legal Studies in 1998."
326,"He is a professor of history at the University of California, Berkeley since 1978.",He,1978,"University of California, Berkeley",start position,"He has been a professor of history at the University of California, Berkeley since 1978."
327,"On March 15, 1981, Ananias was consecrated as Bishop of Nikortsminda Cathedral by Ilia II, the Catholicos-Patriarch of All Georgia.",Ilia II,"March 15, 1981",Nikortsminda Cathedral,start position,"On March 15, 1981, Ananias was consecrated as Bishop of Nikortsminda Cathedral by Ilia II, the Catholicos-Patriarch of All Georgia."
328,He worked as printing worker when he joined the communist movement in the First Austrian Republic in 1919.,He,1919,First Austrian Republic,start position,He was working as a printing worker when he joined the communist movement in the First Austrian Republic in 1919.
329,"Lozovsky was born on 23 September 1907 in the village of Goloenishchevo, Smolensk Governorate.",Lozovsky,23 September 1907,Goloenishchevo,birth,"Lozovsky's birth took place on 23 September 1907 in the village of Goloenishchevo, Smolensk Governorate."
330,"Squire stood against John Cryer at Hornchurch in the 2001 general election, but lost again by a significant majority.",Squire,2001,Hornchurch,campaign,"Squire was defeated by John Cryer at Hornchurch in the 2001 general election, but lost again by a significant majority."
331,"Torrance broke Douda""s world record in Lafayette on March 24, throwing 16.30 m (53 ft 6 in).",Torrance,March 24,Lafayette,competition,"Torrance set a new world record in Lafayette on March 24, throwing 16.30m (53ft 6 in)."
332,"In 1769, Gmelin became an adjunct professor of medicine at University of Tübingen.",Gmelin,1769,University of Tübingen,start position,"In 1769, Gmelin became an adjunct professor of medicine at University of Tübingen."
333,Berry served as reeve for Caledonia from 1920 to 1923 and as warden for Haldimand County in 1923.,Berry,1920 to 1923,Caledonia,position held,Berry served as reeve for Caledonia from 1920 to 1923 and as warden for Haldimand County in 1923.
334,Bousfield enrolled at the University of Illinois in 1903.,Bousfield,1903,University of Illinois,education,Bousfield enrolled at the University of Illinois in 1903.
335,"He left Chesterfield in the following December following Allen""s sacking.",He,the following December,Chesterfield,end position,"He left Chesterfield in the following December following Allen""s sacking."
336,"On 28 August 1984, he was appointed auxiliary bishop of the Archdiocese of Guatemala.",he,28 August 1984,Archdiocese of Guatemala,start position,"On 28 August 1984, he was appointed auxiliary bishop of the Archdiocese of Guatemala."
337,"Later that month Blumenherst, entered on a sponsor""s exemption, finished tied for 5th at the CVS/Pharmacy LPGA Challenge in California.",Blumenherst,Later that month,California,competition,"Later that month Blumenherst, entered on a sponsor""s exemption, finished tied for 5th at the CVS/Pharmacy LPGA Challenge in California."
338,"In 1979 she also began her tenure as the Curator of Phycology at the California Academy of Sciences, where she served until 1986.From 1980",she,1979,California Academy of Sciences,start position,"In 1979 she also began her tenure as the Curator of Phycology at the California Academy of Sciences, where she served until 1986.From 1980"
339,"Born to George Zalopany and Anna Silva, Charles married Cleo Zalopany on January 24, 1948, in Los Angeles, California.",Anna Silva,"January 24, 1948",California,marry,"Born to George Zalopany and Anna Silva, Charles married Cleo Zalopany on January 24, 1948, in Los Angeles, California."
340,"He was a teacher at the Norwegian National Academy of Craft and Art Industry from 1938, but in 1947 he was appointed as a professor at the Norwegian Institute of Technology.",He,1938,Norwegian National Academy of Craft and Art Industry,position held,"He started teaching at the Norwegian National Academy of Craft and Art Industry in 1938, but in 1947 he was designated as a professor at the Norwegian Institute of Technology."
341,"He studied at the University of Waikato, graduating in 1998 and being recognised as one of three distinguished alumni in a 2015 ceremony.",He,1998,University of Waikato,education,"He completed his studies at the University of Waikato, graduating in 1998 and receiving recognition as one of three distinguished alumni in a 2015 ceremony."
342,"He was born in 1826 at Fairview Plantation in Collington, Maryland, the oldest son of Colonel William Duckett Bowie and Eliza Mary Oden.",Eliza Mary Oden,1826,Collington,give birth,"He was born in 1826 at Fairview Plantation in Collington, Maryland, the eldest son of Colonel William Duckett Bowie and Eliza Mary Oden."
343,"Sanders played for Tampa Preparatory School in Tampa, Florida from 1995 to 1999.",Sanders,1995,Tampa,position held,"Sanders was part of the team for Tampa Preparatory School in Tampa, Florida from 1995 to 1999."
344,She went on to earn her doctorate in chemistry in 1924 from the University of London.,She,1924,University of London,education,She proceeded to obtain her doctorate in chemistry in 1924 from the University of London.
345,"A year later Johnson went to Lichfield Grammar School, where he excelled in Latin.",Johnson,A year later,Lichfield Grammar School,education,"One year later Johnson enrolled at Lichfield Grammar School, where he excelled in Latin."
346,"Niemann died on 19 January 1861 in his hometown Goslar, reportedly of ""suppuration of the lung"".",Niemann,19 January 1861,Goslar,die,"Niemann passed away on 19 January 1861 in his hometown Goslar, reportedly of ""suppuration of the lung""."
347,"Morgan Barbançon Mestre (born 12 August 1992 in Paris, France) is a French and Spanish Olympic dressage rider.",Morgan Barbançon Mestre,12 August 1992,Paris,birth,"Morgan Barbançon Mestre (born 12 August 1992 in Paris, France) is a French and Spanish Olympic dressage rider."
348,"Before her death in 1965, they were the parents of:After the death of Smith Sr.’s third wife Florence from leukemia in 1965, he married for the fourth, and last, time to the former Lesly H. Stockard at the Atlanta County Courthouse in March 1968.",he,March 1968,Atlanta County Courthouse,marry,"Before her death in 1965, they were the parents of:After the death of Smith Sr.’s third wife Florence from leukemia in 1965, he married for the fourth, and last, time to the former Lesly H. Stockard at the Atlanta County Courthouse in March 1968."
349,"In 1978, she became a naturalised New Zealand citizen.",she,1978,New Zealand,settlement,"In 1978, she obtained New Zealand citizenship through naturalization."
350,"At Davis, Cicansky was awarded the Kingsley Annual Award for Sculpture (1969) and he graduated with a Master of Fine Arts in 1970.",Cicansky,1969,Davis,ceremony,Cicansky received the Kingsley Annual Award for Sculpture at Davis in 1969 and earned a Master of Fine Arts in 1970.
351,He graduated from the University of Virginia in 1986 with a degree in English.,He,1986,University of Virginia,education,Nelson Quan graduated from the University of Virginia in 1986 with a degree in English.
352,"On 26 January 1844, he delivered an address at the major free trade meeting held at Hull, at which John Bright and Richard Cobden both spoke.",John Bright,26 January 1844,Hull,assembly,"On 26 January 1844, he gave a speech at the major free trade meeting held at Hull, where John Bright and Richard Cobden both spoke."
353,"He served as a member of the Council of State Division in Stockholm from 1895 to 1896, Minister of Auditing from 1896 to 1897, and Minister of Justice from 1897 to 1898.",He,1895 to 1896,Stockholm,position held,"He was a member of the Council of State Division in Stockholm from 1895 to 1896, served as Minister of Auditing from 1896 to 1897, and was Minister of Justice from 1897 to 1898."
354,"Feldstein Soto was born in 1958 in San Juan, Puerto Rico and moved to the United States at age 17 to attend Swarthmore College and Columbia Law School, graduating from the latter in 1982.",Feldstein Soto,1958,San Juan,birth,"Feldstein Soto was born in 1958 in San Juan, Puerto Rico and relocated to the United States at age 17 to attend Swarthmore College and Columbia Law School, where she graduated from the latter in 1982."
355,She moved to live in Bastar in January 2015 and has been working there on an independent basis since.,She,January 2015,Bastar,settlement,She started living in Bastar in January 2015 and has been working there independently since.
356,"In 1939, she became a teacher in Lima and also worked on scientific translations.",she,1939,Lima,start position,"In 1939, she began teaching in Lima and also focused on scientific translations."
357,"In 1347, Richard was summoned by Edward III and arrived with one man-at-arms and two archers for a new campaign in France.",Richard,1347,France,military action,"In 1347, Richard was called by Edward III and arrived with one man-at-arms and two archers for a new campaign in France."
358,"Strutt returned from France to contest his father""s seat in Maldon on the latter""s retirement in 1790.",Strutt,1790,France,end position,"Strutt came back from France to contest his father""s seat in Maldon upon the latter""s retirement in 1790."
359,"personNelson Quan (, born October 14, 1984, Houston, Texas, USA) is a Chinese-American film editor, director and producer.",personNelson Quan,"October 14, 1984",Houston,birth,"Nelson Quan (, born October 14, 1984, Houston, Texas, USA) is a Chinese-American film editor, director and producer."
360,He served at Carlisle Barracks in Pennsylvania in 1844 before returning to Fort McHenry the next year.,He,1844,Pennsylvania,military service,"In 1844, he was stationed at Carlisle Barracks in Pennsylvania before going back to Fort McHenry the following year."
361,"Georgiade was born in New York City on March 25, 1933, of Greek ancestry.",Georgiade,"March 25, 1933",New York City,birth,"Georgiade, of Greek descent, was born in New York City on March 25, 1933."
362,"In 1929, he completed his masterpiece portrait of the Archbishop Angelo Roncalli, then the papal nuncio to Bulgaria.",Angelo Roncalli,1929,Bulgaria,exhibition,"His masterpiece portrait of the Archbishop Angelo Roncalli, then the papal nuncio to Bulgaria, was completed in 1929."
363,"He had been the head of the Edelény branch of FIDESZ since 1993, he had been the Borsod-Abaúj-Zemplén County vice president of the party since 1999.",He,1993,Edelény,position held,"Since 1993, he had been the head of the Edelény branch of FIDESZ, and since 1999, he had been the Borsod-Abaúj-Zemplén County vice president of the party."
364,"In 1948 she wrote a radio drama, Good morning to you, for kindergarten children in Newark, and worked with WBGO Radio.",she,1948,Newark,creation,"In 1948, she penned a radio drama, Good morning to you, for kindergarten children in Newark, and collaborated with WBGO Radio."
365,Margaret Kennix was an unlicensed medical practitioner during the Elizabethan Era in London.,Margaret Kennix,the Elizabethan Era,London,position held,"During the Elizabethan Era in London, Margaret Kennix practiced as an unlicensed medical practitioner."
366,"It was there that he met his first wife, Stephanie von Borowsky, the daughter of the local nobleman J. von Borowsky, and on September 19, 1836, they were married at the Borowsky estate at Posen.",Borowsky,"September 19, 1836",Posen,marry,"It was at that place that he met his first wife, Stephanie von Borowsky, the daughter of the local nobleman J. von Borowsky, and on September 19, 1836, they were married at the Borowsky estate at Posen."
367,"In 1944, Noreen""s husband Clive Branson was killed in Burma by the Japanese when he was hit by an anti-tank shell near Point 315 at the end of the Battle of the Admin Box.",Clive Branson,1944,Burma,die,"In 1944, Noreen""s husband Clive Branson was killed in Burma by the Japanese when he was hit by an anti-tank shell near Point 315 at the end of the Battle of the Admin Box."
368,was born in Quebec City in 1815 to Joseph Deblois and Marie Ranvoise.,Marie Ranvoise,1815,Quebec City,birth,Joseph Deblois and Marie Ranvoise had a son who was born in Quebec City in 1815.
369,"He became the Archdeacon of Buckingham in June 1875, and installed Vicar of Aylesbury in the same year.",He,June 1875,Buckingham,start position,"He was appointed as the Archdeacon of Buckingham in June 1875, and also became the installed Vicar of Aylesbury in the same year."
370,"Genensky died at his Santa Monica home on 26 June 2009, of complications from heart disease.",Genensky,26 June 2009,Santa Monica,die,"Genensky passed away at his residence in Santa Monica on 26 June 2009, due to complications from heart disease."
371,"In 1848, he went to París, where he visited the Louvre and acquainted himself with the works of Horace Vernet and Eugène Delacroix.",he,1848,París,go to,"In 1848, he traveled to París, where he toured the Louvre and familiarized himself with the works of Horace Vernet and Eugène Delacroix."
372,"A month later, he was part of the Swedish team, winning the 1981 European Youths"" Team Championship in Dusserldorf, Germany.",he,1981,Dusserldorf,competition,"A month afterwards, he was part of the Swedish team, emerging victorious in the 1981 European Youths"" Team Championship in Dusserldorf, Germany."
373,He resigned to the place on 15 November 1667 to join two days later in the Barcelona Cathedral in the same position.,He,15 November 1667,Barcelona Cathedral,end position,He stepped down from the position on 15 November 1667 to join two days later in the Barcelona Cathedral in the same role.
374,"He studied humanities and developed his writing skills at Collège de Meximieux (Ain), graduating in 1842, then studied philosophy and theology at the Grand séminaire (Major seminary) of Autun (Saône-et-Loire), his home diocese.",He,1842,Autun,education,"He pursued humanities and honed his writing skills at Collège de Meximieux (Ain), graduating in 1842, then pursued philosophy and theology at the Grand séminaire (Major seminary) of Autun (Saône-et-Loire), his home diocese."
375,"From 1936 to 1938, Ponsot was the French Ambassador to Turkey in Ankara.",Ponsot,From 1936 to 1938,Turkey,position held,"From 1936 to 1938, Ponsot served as the French Ambassador to Turkey in Ankara."
376,"Dennis Schnurr was born on June 21, 1948, in Sheldon, Iowa, to Edward and Eleanor (née Jungers) Schnurr.",Dennis Schnurr,"June 21, 1948",Sheldon,birth,"Dennis Schnurr entered the world on June 21, 1948, in Sheldon, Iowa, to Edward and Eleanor (née Jungers) Schnurr."
377,"She taught at the University of Medicine 1, Yangon from 1969 to 1995.",She,1969 to 1995,University of Medicine 1,position held,"She was a faculty member at the University of Medicine 1, Yangon from 1969 to 1995."
378,"Johnson did some minor film and TV roles, but by the late 1980s, she gave up on acting and got a job as a traffic reporter on a Los Angeles radio station.",Johnson,the late 1980s,Los Angeles,start position,"Johnson took on some minor film and TV roles, but by the late 1980s, she abandoned acting and secured a position as a traffic reporter on a Los Angeles radio station."
379,"In late 1961 the family, which now included one-year-old Kate Lilley, travelled to Queensland with a caravan to visit Lilley""s family.",Kate Lilley,late 1961,Queensland,meet,"In late 1961 the family, which now included one-year-old Kate Lilley, journeyed to Queensland with a caravan to visit Lilley""s family."
380,"Ross was born in either 1975 and 1976, and comes from London, Ontario.",Ross,1975,London,birth,"Ross was born in either 1975 and 1976, and comes from London, Ontario."
381,"neededWith the start of the Second Sino-Japanese War, Homma was appointed commander of the IJA 27th Division in China from 1938 to 1940 and directed the blockade of the foreign concessions in Tientsin, where he led the negotiations with the British.",Homma,1938,China,military action,"Ross hails from London, Ontario and was born in either 1975 or 1976."
382,He moved to France in 1948.,He,1948,France,go to,"With the start of the Second Sino-Japanese War, Homma was appointed commander of the IJA 27th Division in China from 1938 to 1940 and directed the blockade of the foreign concessions in Tientsin, where he led the negotiations with the British."
383,"On 7 August 1590, he succeeded as Bishop of Ferrara. 
He served as Bishop of Ferrara until his death on 5 July 1611.While bishop, he was the principal consecrator of Alfonso Paleotti, Coadjutor Archbishop of Bologna (1591); and the principal co-consecrator of Orazio Giraldi, Bishop of Comacchio (1592), and Camillo Beccio, Bishop of Acqui (1599)",he,7 August 1590,Ferrara,start position,"In 1948, he relocated to France."
384,"He then entered Harvard, and graduated from Harvard College in 1863 and from Harvard Law School in 1865.",He,1863,Harvard,education,"On 7 August 1590, he succeeded as Bishop of Ferrara. He served as Bishop of Ferrara until his death on 5 July 1611. While bishop, he was the principal consecrator of Alfonso Paleotti, Coadjutor Archbishop of Bologna (1591); and the principal co-consecrator of Orazio Giraldi, Bishop of Comacchio (1592), and Camillo Beccio, Bishop of Acqui (1599)"
385,"James Malone was born in Youngstown, Ohio, on March 8, 1920.",James Malone,"March 8, 1920",Youngstown,birth,"He then entered Harvard, and graduated from Harvard College in 1863 and from Harvard Law School in 1865."
386,"Dorrington and three of her Richmond teammates — Deborah Griffin, Alice Cooper, and Mary Forsyth, organized the first Women""s Rugby World Cup in Wales in 1991.",Alice Cooper,1991,Wales,competition,"James Malone was born in Youngstown, Ohio, on March 8, 1920."
387,"After university in 1982, he was assigned to the Central Party School of the Chinese Communist Party, where he was promoted to associate professor in December 1987 and to full professor in July 1993.",he,December 1987,Central Party School of Chinese Communist Party,start position,"Dorrington and three of her Richmond teammates — Deborah Griffin, Alice Cooper, and Mary Forsyth, organized the first Women""s Rugby World Cup in Wales in 1991."
388,"He bought a farm of 300 acres in Engeham, Kent for a retirement career in June 1945, with advice from his brother-in-law Jack Thompson.",He,June 1945,Engeham,purchase and sell,"After university in 1982, he was assigned to the Central Party School of the Chinese Communist Party, where he was promoted to associate professor in December 1987 and to full professor in July 1993."
389,"In 2007 Michal won a silver medal at World Championships 2007 in Belgrade, Serbia, later bettering it at the European Championships 2008 held in Porto, Portugal by winning gold.  This would likely be his last amateur competition as he was increasingly becoming involved on the professional circuit.",Michal,2007,Belgrade,competition,"In June 1945, he bought a farm of 300 acres in Engeham, Kent for a retirement career, with advice from his brother-in-law Jack Thompson."
390,Smith made a single first-class appearance for Warwickshire against Hampshire at Edgbaston in the 1906 County Championship.,Smith,1906,Warwickshire,competition,Smith's only first-class appearance for Warwickshire was against Hampshire at Edgbaston in the 1906 County Championship.
391,"From 2008 - 2013 he was the Dean at MHMK, Munich, Germany.",he,2008 - 2013,MHMK,start position,"From 2008 - 2013, he served as the Dean at MHMK, Munich, Germany."
392,"GermanRudolph Wilde (born 26 May 1857 in Deutsch Krone (West Prussia) (today Wałcz, Poland); died 1 November 1910 in Schöneberg, German Empire) was a German local politician and Mayor of the then independent city of Schöneberg, now a part of Berlin.",GermanRudolph Wilde,26 May 1857,Wałcz,birth,"GermanRudolph Wilde (born 26 May 1857 in Deutsch Krone (West Prussia) (today Wałcz, Poland); died 1 November 1910 in Schöneberg, German Empire) was a German local politician and Mayor of the then independent city of Schöneberg, now a part of Berlin."
393,They revolted and in April 1348 defeated his army near Kairouan.,They,April 1348,Kairouan,military action,"In April 1348, they revolted and defeated his army near Kairouan."
394,He returned to Barcelona in 1860 and assisted with decorating the façade at the Palau de la Generalitat de Catalunya,He,1860,Barcelona,go to,"In 1860, he returned to Barcelona and assisted with decorating the façade at the Palau de la Generalitat de Catalunya"
395,"After high school Lavelle attended the Tisch School of the Arts at New York University, graduating in 2004 with a Bachelor of Fine Arts in Drama.",Lavelle,2004,Tisch School of Arts,education,"After high school, Lavelle attended the Tisch School of the Arts at New York University, and graduated in 2004 with a Bachelor of Fine Arts in Drama."
396,"Julian Lennon was born John Charles Julian Lennon, on 8 April 1963 at Sefton General Hospital in Liverpool to John Lennon and Cynthia Powell.",John Charles Julian Lennon,8 April 1963,Liverpool,birth,"Julian Lennon was born John Charles Julian Lennon, on 8 April 1963 at Sefton General Hospital in Liverpool to John Lennon and Cynthia Powell."
397,"At the 2018 Winter Olympics in Pyeongchang, South Korea, George and Humphries won the bronze medal in the two-woman bobsleigh event.",George,2018,Pyeongchang,competition,"At the 2018 Winter Olympics in Pyeongchang, South Korea, George and Humphries won the bronze medal in the two-woman bobsleigh event."
398,"Spencer was born November 19, 1882, in Savannah, Georgia, to Captain William H. and Mary Elizabeth Wilson Spencer.",Spencer,"November 19, 1882",Savannah,birth,"Spencer was born November 19, 1882, in Savannah, Georgia, to Captain William H. and Mary Elizabeth Wilson Spencer."
399,"After Penn and Teach for America, Stroud received his Juris Doctor from Washington and Lee University School of Law in 2015.",Stroud,2015,Washington and Lee University School of Law,education,"After Penn and Teach for America, Stroud earned his Juris Doctor from Washington and Lee University School of Law in 2015."
400,"Harold Charles Schonberg was born in Washington Heights, Manhattan in New York City, New York on 29 November 1915.",Harold Charles Schonberg,29 November 1915,Manhattan,birth,"Harold Charles Schonberg entered the world in Washington Heights, Manhattan in New York City, New York on 29 November 1915."
401,"Their first son, Stephen Bone, was born the next year on 13 November 1904 in Chiswick.",Stephen Bone,13 November 1904,Chiswick,birth,"Their first son, Stephen Bone, came into the world the next year on 13 November 1904 in Chiswick."
402,"Stanisław Sosabowski was born on 8 May 1892 in Stanislau (), in what was then Austria-Hungary and is now Ivano-Frankivsk in western Ukraine.",Stanisław Sosabowski,8 May 1892,Stanislau,birth,"Stanisław Sosabowski came into existence on 8 May 1892 in Stanislau (), in what was then Austria-Hungary and is now Ivano-Frankivsk in western Ukraine."
403,"Park was born in Yecheon County of North Gyeongsang, Joseon in Japanese-occupied South Korea on November 15, 1931.",Park,"November 15, 1931",Yecheon County,birth,"Park came into the world in Yecheon County of North Gyeongsang, Joseon in Japanese-occupied South Korea on November 15, 1931."
404,"""In 1952, the chemical bonding physicist Fritz London (co-author of the London equations) was interested in the properties of liquid helium and recruited Fairbank to become an Associate Professor of Physics at Duke University.",Fairbank,1952,Duke University,start position,"""In 1952, the chemical bonding physicist Fritz London (co-author of the London equations) became interested in the properties of liquid helium and recruited Fairbank to become an Associate Professor of Physics at Duke University."
405,"Apperley was born at Ventnor, on the Isle of Wight, in 1884.",Apperley,1884,Ventnor,birth,"Apperley made his entrance at Ventnor, on the Isle of Wight, in 1884."
406,"He retired in 1898 to Seabrook and died the following year of Bright""s disease.",He,1898,Seabrook,end position,"He retired in 1898 to Seabrook and passed away the following year of Bright""s disease."
407,"In 1824 he was named an associate professor, an appointment that was made against the will of Leopold Gmelin, a professor of chemistry at Heidelberg.",Leopold Gmelin,1824,Heidelberg,start position,"In 1824 he was appointed as an associate professor, an appointment that was made against the will of Leopold Gmelin, a professor of chemistry at Heidelberg."
408,"Together with Pershing and thirty other generals, he set sail for England on 28 May 1917.",Pershing,28 May 1917,England,go to,"Together with Pershing and thirty other generals, he departed for England on 28 May 1917."
409,"Christian leaderArmando Trindade (born 25 October 1927 in Karachi, British India (now Pakistan)) studied at St Patrick""s High School, Karachi.",leaderArmando Trindade,25 October 1927,Karachi,birth,"Christian leaderArmando Trindade (came into the world on 25 October 1927 in Karachi, British India (now Pakistan)) studied at St Patrick""s High School, Karachi."
410,"He won a gold medal at the 1995 World Orienteering Championships in Detmold with the Swiss relay team (Alain Berger, Christian Aebersold and Urs Flühmann).",He,1995,Detmold,competition,"With the Swiss relay team (Alain Berger, Christian Aebersold and Urs Flühmann), he achieved a gold medal at the 1995 World Orienteering Championships in Detmold."
411,Sandbach was born in Edgbaston in 1901.,Sandbach,1901,Edgbaston,birth,Edgbaston is the birthplace of Sandbach in 1901.
412,He retained one public office: he became Commissioner of Toronto Hydro in 1965 and retired in 1979.,he,1965,Toronto Hydro,start position,He retired in 1979 after becoming Commissioner of Toronto Hydro in 1965 and retaining one public office.
